Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,1,age groups,18-25
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,2,2,25-35
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,3,2,36-45
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,2,4,45-55
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,1,3,55+
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,1,2,
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,2,4,
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,3,4,
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,3,2,
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,2,5,
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,2,4,
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,1,1,
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,3,3,
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,2,1,
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,3,5,
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,2,3,
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,2,1,
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,3,2,
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,2,4,
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,2,5,
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,1,1,
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,2,4,
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,2,1,
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,2,3,
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,1,4,
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,3,5,
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,1,2,
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,1,3,
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,3,3,
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,1,3,
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,3,3,
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,1,3,
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,3,2,
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,2,4,
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,1,4,
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,1,5,
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,1,4,
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,1,1,
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,2,3,
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,1,1,
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,2,4,
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,2,2,
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,2,1,
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,2,4,
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,3,1,
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,3,5,
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,1,1,
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,3,3,
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,3,4,
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,1,4,
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,1,2,
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,1,2,
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,3,3,
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,3,2,
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,1,3,
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,2,2,
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,1,2,
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,2,5,
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,2,1,
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,1,5,
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,1,2,
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,1,1,
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,3,1,
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,2,5,
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,3,4,
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,3,4,
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,1,4,
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,3,4,
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,1,2,
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,2,5,
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,1,3,
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,3,4,
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,3,1,
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,1,2,
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,1,1,
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,3,5,
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,2,1,
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,2,4,
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,1,4,
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,2,2,
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,3,5,
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,1,3,
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,3,2,
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,3,4,
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,2,3,
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,1,2,
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,1,1,
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,2,2,
88,3/29/2023,CUST088,Male,56,Clothing,1,500,500,3,5,
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000,3,5,
90,5/6/2023,CUST090,Female,51,Electronics,1,30,30,3,4,
91,3/25/2023,CUST091,Female,55,Electronics,1,500,500,3,5,
92,8/25/2023,CUST092,Female,51,Electronics,4,30,120,1,4,
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000,1,3,
94,5/19/2023,CUST094,Female,47,Beauty,2,500,1000,2,4,
95,11/24/2023,CUST095,Female,32,Clothing,2,30,60,2,2,
96,12/19/2023,CUST096,Female,44,Clothing,2,300,600,1,3,
97,10/13/2023,CUST097,Female,51,Beauty,2,500,1000,1,4,
98,4/23/2023,CUST098,Female,55,Beauty,2,50,100,3,5,
99,12/17/2023,CUST099,Female,50,Electronics,4,300,1200,3,4,
100,6/16/2023,CUST100,Male,41,Electronics,1,30,30,2,3,
101,1/29/2023,CUST101,Male,32,Clothing,2,300,600,1,2,
102,4/28/2023,CUST102,Female,47,Beauty,2,25,50,2,4,
103,1/17/2023,CUST103,Female,59,Clothing,1,25,25,1,5,
104,6/11/2023,CUST104,Female,34,Beauty,2,500,1000,3,2,
105,7/25/2023,CUST105,Female,22,Electronics,1,500,500,2,1,
106,5/18/2023,CUST106,Female,46,Clothing,1,50,50,2,4,
107,2/3/2023,CUST107,Female,21,Clothing,4,300,1200,1,1,
108,4/19/2023,CUST108,Female,27,Beauty,3,25,75,3,2,
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000,2,2,
110,6/11/2023,CUST110,Male,27,Clothing,3,300,900,3,2,
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500,2,2,
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500,3,3,
113,9/13/2023,CUST113,Female,41,Electronics,2,25,50,1,3,
114,7/22/2023,CUST114,Female,22,Beauty,4,25,100,2,1,
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500,2,4,
116,8/23/2023,CUST116,Female,23,Clothing,1,30,30,3,1,
117,3/15/2023,CUST117,Male,19,Electronics,2,500,1000,3,1,
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000,2,2,
119,3/13/2023,CUST119,Female,60,Clothing,3,50,150,1,5,
120,5/7/2023,CUST120,Male,60,Beauty,1,50,50,3,5,
121,10/15/2023,CUST121,Female,28,Electronics,4,50,200,3,2,
122,10/3/2023,CUST122,Male,64,Electronics,4,30,120,3,5,
123,5/15/2023,CUST123,Female,40,Electronics,2,30,60,2,3,
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000,2,2,
125,8/8/2023,CUST125,Male,48,Clothing,2,50,100,2,4,
126,10/26/2023,CUST126,Female,28,Clothing,3,30,90,2,2,
127,7/24/2023,CUST127,Female,33,Clothing,2,25,50,1,2,
128,7/5/2023,CUST128,Male,25,Beauty,1,500,500,1,2,
129,4/23/2023,CUST129,Female,21,Beauty,2,300,600,2,1,
130,3/12/2023,CUST130,Female,57,Clothing,1,500,500,1,5,
131,9/18/2023,CUST131,Female,21,Beauty,2,300,600,3,1,
132,9/10/2023,CUST132,Male,42,Electronics,4,50,200,3,3,
133,2/16/2023,CUST133,Male,20,Electronics,3,300,900,3,1,
134,1/25/2023,CUST134,Male,49,Electronics,1,50,50,2,4,
135,2/26/2023,CUST135,Male,20,Clothing,2,25,50,3,1,
136,3/20/2023,CUST136,Male,44,Electronics,2,300,600,1,3,
137,11/18/2023,CUST137,Male,46,Beauty,2,500,1000,2,4,
138,3/23/2023,CUST138,Male,49,Clothing,4,50,200,1,4,
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000,3,3,
140,8/5/2023,CUST140,Male,38,Electronics,1,30,30,3,3,
141,11/2/2023,CUST141,Female,22,Electronics,1,50,50,3,1,
142,2/2/2023,CUST142,Male,35,Electronics,4,300,1200,2,3,
143,7/17/2023,CUST143,Female,45,Clothing,1,50,50,1,4,
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500,2,5,
145,11/2/2023,CUST145,Female,39,Clothing,3,25,75,2,3,
146,8/28/2023,CUST146,Male,38,Clothing,4,50,200,3,3,
147,9/28/2023,CUST147,Male,23,Electronics,1,300,300,2,1,
148,5/9/2023,CUST148,Male,18,Clothing,2,30,60,2,1,
149,10/11/2023,CUST149,Male,22,Clothing,3,25,75,3,1,
150,1/6/2023,CUST150,Female,58,Electronics,4,30,120,2,5,
151,12/15/2023,CUST151,Male,29,Clothing,1,50,50,3,2,
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000,3,3,
153,12/16/2023,CUST153,Male,63,Electronics,2,500,1000,3,5,
154,10/2/2023,CUST154,Male,51,Electronics,3,300,900,3,4,
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000,2,2,
156,11/25/2023,CUST156,Female,43,Clothing,4,25,100,3,3,
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000,3,5,
158,2/27/2023,CUST158,Female,44,Electronics,2,300,600,2,3,
159,5/31/2023,CUST159,Male,26,Clothing,4,50,200,2,2,
160,8/11/2023,CUST160,Female,43,Clothing,2,50,100,1,3,
161,3/22/2023,CUST161,Male,64,Beauty,2,500,1000,2,5,
162,8/21/2023,CUST162,Male,39,Clothing,2,30,60,2,3,
163,1/2/2023,CUST163,Female,64,Clothing,3,50,150,1,5,
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500,2,4,
165,9/14/2023,CUST165,Female,60,Clothing,4,300,1200,2,5,
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000,2,2,
167,9/17/2023,CUST167,Female,43,Clothing,3,50,150,2,3,
168,2/24/2023,CUST168,Male,53,Clothing,1,300,300,1,4,
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500,2,1,
170,6/2/2023,CUST170,Female,25,Clothing,2,25,50,2,2,
171,11/24/2023,CUST171,Female,52,Clothing,3,300,900,1,4,
172,9/17/2023,CUST172,Male,32,Beauty,2,25,50,3,2,
173,11/8/2023,CUST173,Male,64,Electronics,4,30,120,1,5,
174,4/12/2023,CUST174,Female,39,Beauty,1,300,300,3,3,
175,3/20/2023,CUST175,Female,31,Electronics,4,25,100,1,2,
176,7/11/2023,CUST176,Female,43,Beauty,2,50,100,1,3,
177,3/24/2023,CUST177,Male,45,Beauty,2,50,100,2,4,
178,10/4/2023,CUST178,Male,40,Clothing,2,30,60,3,3,
179,9/29/2023,CUST179,Male,31,Electronics,1,300,300,2,2,
180,1/1/2023,CUST180,Male,41,Clothing,3,300,900,3,3,
181,11/3/2023,CUST181,Male,19,Electronics,4,300,1200,1,1,
182,6/15/2023,CUST182,Male,62,Beauty,4,30,120,1,5,
183,9/8/2023,CUST183,Female,43,Beauty,3,300,900,3,3,
184,1/10/2023,CUST184,Male,31,Electronics,4,50,200,2,2,
185,2/27/2023,CUST185,Male,24,Clothing,1,25,25,2,1,
186,7/5/2023,CUST186,Male,20,Clothing,4,50,200,2,1,
187,6/7/2023,CUST187,Female,64,Clothing,2,50,100,2,5,
188,5/3/2023,CUST188,Male,40,Clothing,3,25,75,1,3,
189,1/30/2023,CUST189,Male,63,Beauty,1,50,50,1,5,
190,5/4/2023,CUST190,Female,60,Beauty,3,30,90,1,5,
191,10/18/2023,CUST191,Male,64,Beauty,1,25,25,1,5,
192,2/10/2023,CUST192,Male,62,Beauty,2,50,100,1,5,
193,2/13/2023,CUST193,Male,35,Beauty,3,500,1500,2,3,
194,9/6/2023,CUST194,Male,55,Clothing,4,50,200,2,5,
195,2/5/2023,CUST195,Male,52,Clothing,1,30,30,2,4,
196,9/30/2023,CUST196,Female,32,Clothing,3,300,900,2,2,
197,3/6/2023,CUST197,Female,42,Clothing,4,50,200,1,3,
198,3/7/2023,CUST198,Female,54,Beauty,3,300,900,1,4,
199,12/4/2023,CUST199,Male,45,Beauty,3,500,1500,1,4,
200,9/1/2023,CUST200,Male,27,Beauty,3,50,150,3,2,
201,10/9/2023,CUST201,Male,56,Electronics,1,25,25,2,5,
202,3/26/2023,CUST202,Female,34,Clothing,4,300,1200,2,2,
203,5/16/2023,CUST203,Male,56,Clothing,2,500,1000,1,5,
204,9/28/2023,CUST204,Male,39,Beauty,1,25,25,2,3,
205,11/7/2023,CUST205,Female,43,Clothing,1,25,25,2,3,
206,8/5/2023,CUST206,Male,61,Clothing,1,25,25,1,5,
207,4/19/2023,CUST207,Female,42,Beauty,2,25,50,3,3,
208,10/4/2023,CUST208,Female,34,Electronics,4,50,200,3,2,
209,12/20/2023,CUST209,Female,30,Electronics,4,50,200,3,2,
210,4/13/2023,CUST210,Male,37,Electronics,4,50,200,1,3,
211,1/1/2024,CUST211,Male,42,Beauty,3,500,1500,2,3,
212,6/9/2023,CUST212,Male,21,Clothing,3,500,1500,1,1,
213,7/24/2023,CUST213,Male,27,Beauty,3,500,1500,1,2,
214,12/10/2023,CUST214,Male,20,Beauty,2,30,60,2,1,
215,11/29/2023,CUST215,Male,58,Clothing,3,500,1500,3,5,
216,7/11/2023,CUST216,Male,62,Electronics,2,50,100,3,5,
217,8/13/2023,CUST217,Female,35,Electronics,4,50,200,1,3,
218,9/22/2023,CUST218,Male,64,Beauty,3,30,90,3,5,
219,8/20/2023,CUST219,Female,53,Electronics,3,30,90,1,4,
220,3/3/2023,CUST220,Male,64,Beauty,1,500,500,1,5,
221,5/7/2023,CUST221,Male,39,Beauty,2,300,600,2,3,
222,4/26/2023,CUST222,Male,51,Clothing,4,30,120,2,4,
223,2/2/2023,CUST223,Female,64,Clothing,1,25,25,2,5,
224,6/23/2023,CUST224,Female,25,Clothing,1,50,50,1,2,
225,1/11/2023,CUST225,Female,57,Beauty,4,25,100,2,5,
226,10/29/2023,CUST226,Female,61,Clothing,1,50,50,3,5,
227,10/11/2023,CUST227,Male,36,Electronics,2,50,100,3,3,
228,4/28/2023,CUST228,Female,59,Electronics,2,30,60,1,5,
229,10/29/2023,CUST229,Male,58,Beauty,3,30,90,1,5,
230,4/23/2023,CUST230,Male,54,Beauty,1,25,25,2,4,
231,1/4/2023,CUST231,Female,23,Clothing,3,50,150,1,1,
232,2/6/2023,CUST232,Female,43,Beauty,1,25,25,1,3,
233,12/29/2023,CUST233,Female,51,Beauty,2,300,600,3,4,
234,11/20/2023,CUST234,Female,62,Electronics,2,25,50,3,5,
235,1/31/2023,CUST235,Female,23,Electronics,2,500,1000,2,1,
236,4/28/2023,CUST236,Female,54,Clothing,1,25,25,1,4,
237,2/4/2023,CUST237,Female,50,Beauty,2,500,1000,1,4,
238,1/17/2023,CUST238,Female,39,Beauty,1,500,500,3,3,
239,6/19/2023,CUST239,Male,38,Electronics,3,500,1500,1,3,
240,2/6/2023,CUST240,Female,23,Beauty,1,300,300,3,1,
241,9/21/2023,CUST241,Female,23,Electronics,3,25,75,2,1,
242,5/2/2023,CUST242,Male,21,Clothing,1,25,25,3,1,
243,5/23/2023,CUST243,Female,47,Electronics,3,300,900,1,4,
244,12/9/2023,CUST244,Male,28,Beauty,2,50,100,2,2,
245,9/6/2023,CUST245,Male,47,Clothing,3,30,90,3,4,
246,4/20/2023,CUST246,Female,48,Electronics,2,25,50,3,4,
247,10/4/2023,CUST247,Male,41,Electronics,2,30,60,2,3,
248,3/9/2023,CUST248,Male,26,Clothing,3,300,900,2,2,
249,10/20/2023,CUST249,Male,20,Clothing,1,50,50,3,1,
250,10/23/2023,CUST250,Male,48,Electronics,1,50,50,1,4,
251,8/31/2023,CUST251,Female,57,Beauty,4,50,200,3,5,
252,5/5/2023,CUST252,Male,54,Electronics,1,300,300,2,4,
253,8/31/2023,CUST253,Female,53,Clothing,4,500,2000,3,4,
254,7/28/2023,CUST254,Male,41,Electronics,1,500,500,2,3,
255,4/8/2023,CUST255,Male,48,Clothing,1,30,30,2,4,
256,2/18/2023,CUST256,Male,23,Clothing,2,500,1000,1,1,
257,2/19/2023,CUST257,Male,19,Beauty,4,500,2000,2,1,
258,12/4/2023,CUST258,Female,37,Clothing,1,50,50,2,3,
259,8/9/2023,CUST259,Female,45,Clothing,4,50,200,1,4,
260,7/1/2023,CUST260,Male,28,Beauty,2,30,60,2,2,
261,8/5/2023,CUST261,Male,21,Clothing,2,25,50,1,1,
262,7/30/2023,CUST262,Female,32,Beauty,4,30,120,1,2,
263,8/28/2023,CUST263,Male,23,Beauty,2,30,60,2,1,
264,1/28/2023,CUST264,Male,47,Clothing,3,300,900,2,4,
265,12/11/2023,CUST265,Male,55,Clothing,3,300,900,3,5,
266,12/1/2023,CUST266,Female,19,Electronics,2,30,60,1,1,
267,11/27/2023,CUST267,Female,32,Beauty,3,30,90,3,2,
268,2/20/2023,CUST268,Female,28,Electronics,1,30,30,2,2,
269,2/1/2023,CUST269,Male,25,Clothing,4,500,2000,3,2,
270,7/26/2023,CUST270,Male,43,Electronics,1,300,300,1,3,
271,6/23/2023,CUST271,Female,62,Beauty,4,30,120,3,5,
272,2/25/2023,CUST272,Female,61,Electronics,2,50,100,1,5,
273,5/8/2023,CUST273,Female,22,Beauty,1,50,50,2,1,
274,4/9/2023,CUST274,Female,23,Clothing,2,500,1000,2,1,
275,4/8/2023,CUST275,Male,43,Clothing,2,500,1000,1,3,
276,10/2/2023,CUST276,Female,21,Beauty,4,25,100,2,1,
277,8/18/2023,CUST277,Male,36,Clothing,4,25,100,2,3,
278,3/13/2023,CUST278,Female,37,Clothing,4,25,100,2,3,
279,8/5/2023,CUST279,Male,50,Clothing,1,500,500,2,4,
280,4/4/2023,CUST280,Female,37,Clothing,3,500,1500,1,3,
281,5/23/2023,CUST281,Female,29,Beauty,4,500,2000,3,2,
282,8/25/2023,CUST282,Female,64,Electronics,4,50,200,3,5,
283,5/8/2023,CUST283,Female,18,Electronics,1,500,500,2,1,
284,2/8/2023,CUST284,Male,43,Clothing,4,50,200,3,3,
285,8/15/2023,CUST285,Female,31,Electronics,1,25,25,3,2,
286,10/9/2023,CUST286,Male,55,Electronics,2,25,50,2,5,
287,2/20/2023,CUST287,Male,54,Clothing,4,25,100,2,4,
288,1/26/2023,CUST288,Male,28,Clothing,4,30,120,3,2,
289,11/30/2023,CUST289,Male,53,Electronics,2,30,60,1,4,
290,10/4/2023,CUST290,Female,30,Beauty,2,300,600,2,2,
291,1/8/2023,CUST291,Male,60,Clothing,2,300,600,1,5,
292,2/17/2023,CUST292,Male,20,Beauty,4,300,1200,3,1,
293,5/2/2023,CUST293,Male,50,Electronics,3,30,90,2,4,
294,3/27/2023,CUST294,Female,23,Clothing,3,30,90,1,1,
295,7/28/2023,CUST295,Female,27,Beauty,3,300,900,2,2,
296,9/6/2023,CUST296,Female,22,Clothing,4,300,1200,3,1,
297,9/4/2023,CUST297,Female,40,Electronics,2,500,1000,1,3,
298,4/20/2023,CUST298,Male,27,Beauty,4,300,1200,3,2,
299,7/25/2023,CUST299,Male,61,Electronics,2,500,1000,3,5,
300,1/31/2023,CUST300,Female,19,Electronics,4,50,200,2,1,
301,3/26/2023,CUST301,Male,30,Clothing,4,30,120,1,2,
302,7/14/2023,CUST302,Male,57,Beauty,2,300,600,3,5,
303,1/2/2023,CUST303,Male,19,Electronics,3,30,90,3,1,
304,7/19/2023,CUST304,Female,37,Electronics,2,30,60,1,3,
305,5/16/2023,CUST305,Female,18,Beauty,1,30,30,3,1,
306,8/21/2023,CUST306,Male,54,Electronics,1,50,50,3,4,
307,5/27/2023,CUST307,Female,26,Electronics,2,25,50,1,2,
308,8/5/2023,CUST308,Female,34,Beauty,4,300,1200,1,2,
309,12/23/2023,CUST309,Female,26,Beauty,1,25,25,1,2,
310,10/12/2023,CUST310,Female,28,Beauty,1,25,25,1,2,
311,12/5/2023,CUST311,Female,32,Beauty,4,25,100,2,2,
312,9/7/2023,CUST312,Male,41,Clothing,4,30,120,1,3,
313,3/21/2023,CUST313,Female,55,Beauty,3,500,1500,2,5,
314,4/8/2023,CUST314,Male,52,Clothing,4,30,120,2,4,
315,6/1/2023,CUST315,Male,47,Clothing,2,30,60,2,4,
316,4/22/2023,CUST316,Female,48,Clothing,2,25,50,3,4,
317,1/30/2023,CUST317,Male,22,Electronics,3,30,90,2,1,
318,10/24/2023,CUST318,Male,61,Clothing,1,25,25,2,5,
319,10/5/2023,CUST319,Male,31,Clothing,1,500,500,3,2,
320,2/1/2023,CUST320,Female,28,Electronics,4,300,1200,3,2,
321,6/10/2023,CUST321,Female,26,Electronics,2,25,50,3,2,
322,1/30/2023,CUST322,Male,51,Electronics,1,500,500,1,4,
323,1/26/2023,CUST323,Female,29,Beauty,3,300,900,3,2,
324,10/27/2023,CUST324,Female,52,Electronics,3,50,150,3,4,
325,9/2/2023,CUST325,Female,52,Electronics,2,25,50,2,4,
326,9/15/2023,CUST326,Female,18,Clothing,3,25,75,3,1,
327,9/29/2023,CUST327,Male,57,Electronics,3,50,150,1,5,
328,3/22/2023,CUST328,Male,39,Beauty,2,50,100,3,3,
329,1/30/2023,CUST329,Female,46,Electronics,4,25,100,1,4,
330,9/18/2023,CUST330,Female,25,Beauty,4,50,200,3,2,
331,2/11/2023,CUST331,Male,28,Electronics,3,30,90,3,2,
332,4/6/2023,CUST332,Male,58,Electronics,4,300,1200,3,5,
333,2/5/2023,CUST333,Female,54,Electronics,4,300,1200,3,4,
